Factory Direct Homes Center - Complete Retail Pricing - April 2026
Margin Calculation: (Sale Price - True Cost) / Sale Price where True Cost = Total Cost + Pack

ASPIRE SINGLE WIDE MODELS
Model Name,Model Number,Size,Bed/Bath,Square Feet,Base Price,Surcharge,Total Cost,Pack,True Cost,MSRP,Discount,Sale Price,Margin %
Ridge,1676H32090,16' x 76',3 Bed / 2 Bath,1216,"$43,995","$608","$44,603","$2,500","$47,103","$127,437","$25,000","$102,437",54.0%
Somerset,1676H32085,16' x 76',3 Bed / 2 Bath,1216,"$44,160","$608","$44,768","$2,500","$47,268","$127,909","$24,000","$103,909",54.5%
Monte,1676H32087,16' x 76',3 Bed / 2 Bath,1216,"$45,180","$608","$45,788","$2,500","$48,288","$130,823","$23,000","$107,823",55.2%
Floyd,1676H32107,16' x 76',3 Bed / 2 Bath,1216,"$43,995","$608","$44,603","$2,500","$47,103","$127,437","$22,000","$105,437",55.3%
Plateau,1672H32087,16' x 72',3 Bed / 2 Bath,1152,"$43,515","$576","$44,091","$2,500","$46,591","$125,974","$21,000","$104,974",55.6%
Horizon,1672H32090,16' x 72',3 Bed / 2 Bath,1152,"$43,495","$576","$44,071","$2,500","$46,571","$125,917","$20,500","$105,417",55.8%
Estill,1668H32220,16' x 68',3 Bed / 2 Bath,1088,"$42,940","$544","$43,484","$2,500","$45,984","$124,240","$20,000","$104,240",55.9%
Churchill,1668H32087,16' x 68',3 Bed / 2 Bath,1088,"$41,850","$544","$42,394","$2,500","$44,894","$121,126","$19,500","$101,626",55.8%

ASPIRE DOUBLE WIDE MODELS
Model Name,Model Number,Size,Bed/Bath,Square Feet,Base Price,Surcharge,Total Cost,Pack,True Cost,MSRP,Discount,Sale Price,Margin %
Verona,76' Verona,32' x 76',4 Bed / 2 Bath,2432,"$79,995","$1,581","$81,576","$2,500","$84,076","$233,074","$38,000","$195,074",56.9%
Winston,68' Winston,32' x 72',4 Bed / 2 Bath,2304,"$79,995","$1,498","$81,493","$2,500","$83,993","$232,837","$37,000","$195,837",57.1%
Madison,68' Madison,28' x 76',4 Bed / 2 Bath,2176,"$72,795","$1,414","$74,209","$2,500","$76,709","$212,026","$35,000","$177,026",56.7%
Henderson,76' Henderson,32' x 76',4 Bed / 2 Bath,2432,"$80,295","$1,581","$81,876","$2,500","$84,376","$233,931","$34,000","$199,931",57.8%
Shelby,68' Shelby,28' x 76',4 Bed / 2 Bath,2176,"$74,995","$1,414","$76,409","$2,500","$78,909","$218,312","$33,000","$185,312",57.4%
Pinnacle,56' Pinnacle,28' x 56',3 Bed / 2 Bath,1568,"$63,995","$1,019","$65,014","$2,500","$67,514","$182,843","$30,000","$152,843",55.8%
Baldwin,68' Baldwin,28' x 76',4 Bed / 2 Bath,2128,"$71,125","$1,383","$72,508","$2,500","$75,008","$207,166","$32,000","$175,166",57.2%
Grand,64' Grand,28' x 64',3 Bed / 2 Bath,1792,"$58,695","$1,165","$59,860","$2,500","$62,360","$167,700","$25,000","$142,700",56.3%

MARGIN SUMMARY
Category,Minimum Margin,Maximum Margin,Average Margin
Single Wide,54.0%,55.9%,55.3%
Double Wide,55.8%,57.8%,56.9%
Overall,54.0%,57.8%,56.1%

NOTES:
- True Cost = Total Cost (Base + Surcharge) + Pack ($2,500)
- Margin calculated as: (Sale Price - True Cost) / Sale Price
- All margins exceed 35% minimum requirement
- Prices subject to change without notice
- Delivery, setup, and options not included
- Contact Factory Direct Homes Center for detailed quotes
